TAG,DESCRIÇÃO,ENTRADA,SAÍDA,SEVERIDADE,ALARME,Invertido,,,
I722PLL3708,PRESSÃO UNID HIDR VVAS PARTIDA,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PLL3802,PRESSÃO UNID HIDR BYPASS AP TURBINA,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3419,TEMP VAPOR SAÍDA SH2 LE CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3422,TEMP VAPOR SAÍDA SH2 LD CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3534,TEMP VAPOR ENTRADA RH1 LE CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3537,TEMP VAPOR ENTRADA RH1 LD CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3616,TEMP ENROL MOTOR BBA 1 RECUP DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3621,TEMP MANCAL LA OU LNA MOTOR BBA 1 REC DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3636,TEMP ENROL MOTOR BBA 2 RECUP DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3641,TEMP MANCAL LA OU LNA MOTOR BBA 2 REC DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3651,TEMP ENROL MOTOR BBA RECIRC CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3658,TEMP ÁGUA RESFR BBA RECIRC CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3339,TEMP VAPOR SAÍDA EVAPORADOR LE CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722THH3348,TEMP VAPOR SAÍDA EVAPORADOR LD CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,, ,
I722THH3544,TEMP VAPOR SAÍDA RH1 LE CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722THH3551,TEMP VAPOR SAÍDA RH1 LD CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722THH3622,TEMP MANCAL LNA MOTOR BBA 1 REC DREN CALD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3624,TEMP MANCAL LA MOTOR BBA 1 REC DREN CALD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3642,TEMP MANCAL LNA MOTOR BBA 2 REC DREN CALD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3644,TEMP MANCAL LA MOTOR BBA 2 REC DREN CALD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3652,TEMP ENROL MOTOR BBA RECIRC CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722ZH1069,VVA DESC BBA 2 RECUP DRENOS CALDEIRA,ABERTA,NÃO ABERTA,BAIXA,NÃO,NÃO,,,
I722ZH1071,VVA RECIRC BBA 1 RECUP DRENOS CALDEIRA,ABERTA,NÃO ABERTA,BAIXA,NÃO,NÃO,,,
I722ZH1073,VVA RECIRC BBA 2 RECUP DRENOS CALDEIRA,ABERTA,NÃO ABERTA,BAIXA,NÃO,NÃO,,,
I722ZH1075,VVA DESC BBA 1 RECUP DRENOS CALDEIRA,ABERTA,NÃO ABERTA,BAIXA,NÃO,NÃO,,,
I722ZH2027,VVA ADMS BBA RECIRCULAÇÃO CALDEIRA,ABERTA,NÃO ABERTA,BAIXA,NÃO,NÃO,,,
I722ZL1070,VVA DESC BBA 2 RECUP DRENOS CALDEIRA,FECHADA,NÃO FECHADA,BAIXA,NÃO,NÃO,,,
I722ZL1072,VVA RECIRC BBA 1 RECUP DRENOS CALDEIRA,FECHADA,NÃO FECHADA,BAIXA,NÃO,NÃO,,,
I722ZL1074,VVA RECIRC BBA 2 RECUP DRENOS CALDEIRA,FECHADA,NÃO FECHADA,BAIXA,NÃO,NÃO,,,
I722ZL1076,VVA DESC BBA 1 RECUP DRENOS CALDEIRA,FECHADA,NÃO FECHADA,BAIXA,NÃO,NÃO,,,
I722ZL2026,VÁLVULAS CONTROLE BY-PASS TURBINA AP,NÃO FECHADAS,FECHADAS,ALTA,NÃO,SIM,,,
I722ZL2028,VVA ADMS BBA RECIRCULAÇÃO CALDEIRA,FECHADA,NÃO FECHADA,MEDIA,NÃO,NÃO,,,
I722ZM1164,VVA DESC E VVA RECIRC BBA 1 RECUP DREN CAL,NÃO ABERTA,NORMALIZADO,MEDIA,NÃO,NÃO,,,
I722ZM1167,VVA DESC E VVA RECIRC BBA 2 RECUP DREN CAL,NÃO ABERTA,NORMALIZADO,MEDIA,NÃO,NÃO,,,
I722ZM2055,VVA ADMS BBA RECIRCULAÇÃO CALDEIRA,NÃO ABERTA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723AH3205,TEOR CO2 GASES SAÍDA CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723AH3207,TEOR CO GASES SAÍDA CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723AL3203,TEOR O2 GASES SAÍDA CALDEIRA,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723DIH3104,MONITORAÇÃO PRES AR SEC APÓS AQUEC,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723DPH3504,PRES DIF FILTRO ÓLEO LUB VENT INDUZIDO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723DPH3514,PRES DIF FILTRO ÓLEO LUB VENT INDUZIDO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EFT1001,PRECIPITADOR ELETROSTÁTICO 1 OU 2,FALHA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMD1005,VENTILADOR FORÇADO 1,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD1012,VENTILADOR FORÇADO 2,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD1101,VENTILADOR INDUZIDO 1,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD1102,VENTILADOR INDUZIDO 2,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD2075,MOTOR 1 AQUECEDOR REGENERATIVO 1,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD2076,MOTOR 2 AQUECEDOR REGENERATIVO 1,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD2077,MOTOR 1 AQUECEDOR REGENERATIVO 2,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EMD2078,MOTOR 2 AQUECEDOR REGENERATIVO 2,DESLIGADO,LIGADO,ALTA,NÃO,NÃO,,,
I723EML1005,VENTILADOR FORÇADO 1,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML1012,VENTILADOR FORÇADO 2,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML1101,VENTILADOR INDUZIDO 1,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML1101D,VENT INDUZIDOS DESL E VENT FORÇADO 1 LIGADO,PRESENTE,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EML1102,VENTILADOR INDUZIDO 2,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML1102D,VENT INDUZIDOS DESL E VENT FORÇADO 2 LIGADO,PRESENTE,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EML2075,MOTOR 1 AQUECEDOR REGENERATIVO 1,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML2076,MOTOR 2 AQUECEDOR REGENERATIVO 1,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML2077,MOTOR 1 AQUECEDOR REGENERATIVO 2,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EML2078,MOTOR 2 AQUECEDOR REGENERATIVO 2,LIGADO,DESLIGADO,MEDIA,NÃO,NÃO,,,
I723EMS2070,BB 1 ÓLEO LUB AQ REGEN - PARTIDA STANDBY,ATUADO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMS2071,BB 2 ÓLEO LUB AQ REGEN - PARTIDA STANDBY,ATUADO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMS3104,BBA 2 ÓLEO LUB VI 1 - PARTIDA STANDBY,ATUADO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMS3103,BBA 1 ÓLEO LUB VI 1 - PARTIDA STANDBY,ATUADO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMS3106,BBA 2 ÓLEO LUB VI 2 - PARTIDA STANDBY,ATUADO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMS3105,BBA 1 ÓLEO LUB VI 2 - PARTIDA STANDBY,ATUADO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723EMT1005,VENTILADOR FORÇADO 1,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT1012,VENTILADOR FORÇADO 2,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT1101,VENTILADOR INDUZIDO 1,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT1102,VENTILADOR INDUZIDO 2,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT2075,MOTOR 1 AQUECEDOR REGENERATIVO 1,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT2076,MOTOR 2 AQUECEDOR REGENERATIVO 1,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT2077,MOTOR 1 AQUECEDOR REGENERATIVO 2,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EMT2078,MOTOR 2 AQUECEDOR REGENERATIVO 2,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723EPE2001F,PLACAS SELAGEM AQUEC REGENERATIVO 1,,,,,,,,
I723EPE2001M,PLACAS SELAGEM AQUEC REGENERATIVO 1,,,,,,,,
I723EPE2002F,PLACAS SELAGEM AQUEC REGENERATIVO 2,,,,,,,,
I723EPE2002M,PLACAS SELAGEM AQUEC REGENERATIVO 2,,,,,,,,
I723ESM3029,TERMOSONDA LADO ESQUERDO,,,,,,,,
I723ESM3030,TERMOSONDA LADO DIREITO,FALHA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723FHH3152,AR COMBUSTÃO - VAZÃO DE PURGA,PRESENTE,AUSENTE,MEDIA,SIM,NÃO,,,
I723FL3112,VAZÃO AR SECUNDÁRIO FILA 1,BAIXO,NORMALIZADO,MEDIA,SIM,SIM,,,
I723FL3122,VAZÃO AR SECUNDÁRIO FILA 2,BAIXO,NORMALIZADO,MEDIA,SIM,SIM,,,
I723FL3132,VAZÃO AR SECUNDÁRIO FILA 3,BAIXO,NORMALIZADO,MEDIA,SIM,SIM,,,
I723FL3142,VAZÃO AR SECUNDÁRIO FILA 4,BAIXO,NORMALIZADO,MEDIA,SIM,SIM,,,
I723FL3501,VAZÃO ÓLEO LUB P/ MANCAL LA VENT IND 1,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723FL3511,VAZÃO ÓLEO LUB P/ MANCAL LNA VENT IND 2,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723FL3512,VAZÃO ÓLEO LUB P/ MANCAL LA VENT IND 2,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723FLL3155,VAZÃO TOTAL AR COMBUSTÃO (NFPA),MUITO BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
