TAG,DESCRICAO,Min,Max,UNIDADE,LL,L,H,HH
I723AT3215,TEOR C02 GASES SAÍDA CALDEIRA LADO ESQUERDO,0,20,%,,,16,
I723AT3217,TEOR CO GASES SAÍDA CALDEIRA LADO ESQUERDO,0,500,ppm,,,100,
I723AY3203,TEOR 02 GASES SAÍDA CALDEIRA - MENOR VALOR PARA CONTROLE,0,10,%,,,,
I723ET1005,CORRENTE MOTOR VENT. FORÇADO 1,0,500,A,,,255,
I723ET1012,CORRENTE MOTOR VENT. FORÇADO 2,0,500,A,,,255,
I723ET1101,CORRENTE MOTOR VENT. INDUZIDO 1,0,500,A,,,290,
I723ET1102,CORRENTE MOTOR VENT. INDUZIDO 2,0,500,A,,,290,
I723FT3111,VAZÃO AR SECUNDÁRIO - FILA 1 - LADO ESQUERDO,0,170,10³Nm3/h,,,,
I723FT3112,VAZÃO AR SECUNDÁRIO - FILA 1 - LADO DIREITO,0,170,10³Nm3/h,,,,
I723FT3121,VAZÃO AR SECUNDÁRIO - FILA 2 - LADO ESQUERDO,0,170,10³Nm3/h,,,,
I723FT3122,VAZÃO AR SECUNDÁRIO - FILA 2 - LADO DIREITO,0,170,10³Nm3/h,,,,
I723FT3131,VAZÃO AR SECUNDÁRIO - FILA 3 - LADO ESQUERDO,0,170,10³Nm3/h,,,,
I723FT3132,VAZÃO AR SECUNDÁRIO - FILA 3 - LADO DIREITO,0,170,10³Nm3/h,,,,
I723FT3141,VAZÃO AR SECUNDÁRIO - FILA 4 - LADO ESQUERDO,0,170,10³Nm3/h,,,,
I723FT3142,VAZÃO AR SECUNDÁRIO - FILA 4 - LADO DIREITO,0,170,10³Nm3/h,,,,
I723PT3103,PRESSÃO AR SECUNDÁRIO ENTRADA QUEIMADORES,0,600,mmH2O,,,,
I723PT3214,PRESSÃO FORNALHA LADO ESQUERDO,-300,300,mmH2O,-250,-50,50,250
I723PT3217,PRESSÃO FORNALHA LADO DIREITO,-300,300,mmH2O,-250,-50,50,250
I723PT3222,PRESSÃO GASES COMBUSTÃO APÓS SH3,-150,150,mmH2O,,,,
I723PT3224,PRESSÃO GASES COMBUSTÃO APÓS RH2,-150,150,mmH2O,,,,
I723PT3226,PRESSÃO GASES COMBUSTÃO APÓS SH2,-150,150,mmH2O,,,,
I723PT3228,PRESSÃO GASES COMBUSTÃO APÓS RH1,-150,150,mmH2O,,,,
I723PT3229,PRESSÃO GASES COMB SAÍDA CALDEIRA LE,-150,150,mmH2O,,,,
I723PT3230,PRESSÃO GASES COMB SAÍDA CALDEIRA LD,-150,150,mmH2O,,,,
I723ST2401,ROTAÇÃO AQUECEDOR REGENARATIVO 1,0,3,rpm,"1,3","1,35",,
I723ST2402,ROTAÇÃO AQUECEDOR REGENARATIVO 2,0,3,rpm,"1,3","1,35",,
I723TE1009,TEMP MANCAL LA MOTOR FORÇADO 1,0,150,°C,,,80,90
I723TE1011,TEMP MANCAL LNA MOTOR FORÇADO 1,0,150,°C,,,80,90
I723TE1013,TEMP ENROL MOTOR VENTILADOR FORÇADO 1,0,200,°C,,,110,
I723TE1029,TEMP MANCAL LA MOTOR FORÇADO 1,0,150,°C,,,80,90
I723TE1031,TEMP MANCAL LNA MOTOR FORÇADO 1,0,150,°C,,,80,90
I723TE1033,TEMP ENROL MOTOR VENTILADOR FORÇADO 1,0,150,°C,,,110,
I723TE1505,TEMP MANCAL LNA MOTOR INDUZIDO 1,0,150,°C,,,80,90
I723TE1507,TEMP MANCAL LA MOTOR INDUZIDO 1,0,150,°C,,,80,90
I723TE1512,TEMP ENROLAMENTO MOTOR VENTILADOR INDUZIDO 1,0,200,°C,,,110,
I723TE1525,TEMP MANCAL LA MOTOR INDUZIDO 2,0,150,°C,,,80,90
I723TE1527,TEMP MANCAL LNA MOTOR INDUZIDO 2,0,150,°C,,,80,90
I723TE1532,TEMP ENROLAMENTO MOTOR VENTILADOR INDUZIDO 2,0,200,°C,,,110,
I723TE2005,TEMP MANCAL LNA VENTILADOR FORÇADO 1,0,150,°C,,,80,90
I723TE2007,TEMP MANCAL LA VENTILADOR FORÇADO 1,0,150,°C,,,80,90
I723TE2025,TEMP MANCAL LNA VENTILADOR FORÇADO 2,0,150,°C,,,80,90
I723TE2027,TEMP MANCAL LA VENTILADOR FORÇADO 2,0,150,°C,,,80,90
I723TE2401,TEMP MANCAL INFERIOR AQUECEDOR AR 1,0,150,°C,,,80,90
I723TE2404,TEMP MANCAL SUPERIOR AQUECEDOR AR 1,0,150,°C,,,80,90
I723TE2431,TEMP MANCAL INFERIOR AQUECEDOR AR 2,0,150,°C,,,80,90
I723TE2434,TEMP MANCAL SUPERIOR AQUECEDOR AR 2,0,150,°C,,,80,90
I723TE3501,TEMP MANCAL LA VENTILADOR INDUZIDO 1,0,150,°C,,,80,90
I723TE3503,TEMP MANCAL LNA VENTILADOR INDUZIDO 1,0,150,°C,,,80,90
I723TE3521,TEMP MANCAL LNA VENTILADOR INDUZIDO 2,0,150,°C,,,80,90
I723TE3523,TEMP MANCAL LA VENTILADOR INDUZIDO 2,0,150,°C,,,80,90
I723TI3301,MÉDIA TEMPERATURA AQUECEDOR REGENERATIVO 1,50,150,°C,,85,,
I723TI3302,MÉDIA TEMPERATURA AQUECEDOR REGENERATIVO 2,50,150,°C,,85,,
I723TT3041,TEMP AR ENTRADA AQUECEDOR REGENERATIVO  1,0,200,°C,,,,
I723TT3047,TEMP AR SAÍDA AQUECEDOR REGENERATIVO 1 LE,50,500,°C,,,,
I723TT3052,TEMP AR SAÍDA AQUECEDOR REGENERATIVO 1 LD,50,500,°C,,,,
I723TT3057,TEMP AR ENTRADA AQUECEDOR REGENERATIVO 2,0,200,°C,,,,
I723TT3062,TEMP AR SAÍDA AQUECEDOR REGENERATIVO 2 LE,50,500,°C,,,,
I723TT3067,TEMP AR SAÍDA AQUECEDOR REGENERATIVO 2 LD,50,500,°C,,,,
I723TT3201,TEMPERATURA FORNALHA LE,0,1538,°C,,,1350,
I723TT3202,TEMPERATURA FORNALHA LD,50,600,°C,,,550,
I723TT3242,TEMP GASES COMBUSTÃO ENTRADA AQUECEDOR REGENERATIVO 1,50,600,°C,,,,
I723TT3250,TEMP GASES COMBUSTÃO SAÍDA AQUECEDOR REGENERATIVO 1,50,300,°C,,,,
I723TT3257,TEMP GASES COMBUSTÃO ENTRADA AQUECEDOR  REGENERATIVO 2,50,600,°C,,,,
I723TT3261,TEMP GASES COMBUSTÃO SAÍDA AQUECEDOR REGENERATIVO  2,50,300,°C,,,,
I723TT3268,TEMPERATURA GASES ENTRADA PRECIPITADOR ELETROSTÁTICO 1 LE,50,300,°C,,,220,
I723TT3271,TEMPERATURA GASES ENTRADA PRECIPITADOR ELETROSTÁTICO 1 LD,50,300,°C,,,220,
I723TT3294,TEMPERATURA GASES ENTRADA PRECIPITADOR ELETROSTÁTICO 2 LE,50,300,°C,,,220,
I723TT3297,TEMPERATURA GASES ENTRADA PRECIPITADOR ELETROSTÁTICO 2 LD,50,300,°C,,,220,
I724ET1002,CORRENTE MOTOR VENT. AR PRIMÁRIO 1,0,250,A,,,155,
I724ET1006,CORRENTE MOTOR VENT. AR PRIMÁRIO 1,0,250,A,,,155,
I724ET1111,CORRENTE MOTOR MOINHO CARVÃO 1,0,150,A,,,85,
I724ET1112,CORRENTE MOTOR MOINHO CARVÃO 2,0,150,A,,,85,
I724ET1113,CORRENTE MOTOR MOINHO CARVÃO 3,0,150,A,,,85,
I724ET1114,CORRENTE MOTOR MOINHO CARVÃO 4,0,150,A,,,85,
I724FY3010,VAZÃO AR PRIMÁRIO ENTRADA MOINHO 1,0,120,10³Nm3/h,,,,
I724FY3020,VAZÃO AR PRIMÁRIO ENTRADA MOINHO 2,0,120,10³Nm3/h,,,,
I724FY3030,VAZÃO AR PRIMÁRIO ENTRADA MOINHO 3,0,120,10³Nm3/h,,,,
I724FY3040,VAZÃO AR PRIMÁRIO ENTRADA MOINHO 4,0,120,10³Nm3/h,,,,
I724PT3060,PRESSÃO AR PRIMÁRIO SAÍDA AQUECEDORES,0,2000,mmca,,,,
I724ST3101,VELOCIDADE ALIMENTADOR CARVÃO 1,0,100,%,,,85,
I724ST3201,VELOCIDADE ALIMENTADOR CARVÃO 2,0,100,%,,,85,
I724ST3301,VELOCIDADE ALIMENTADOR CARVÃO 3,0,100,%,,,85,
I724ST3401,VELOCIDADE ALIMENTADOR CARVÃO 4,0,100,%,,,85,
I724TE1002,TEMP MANCAL LA VENTILADOR AR PRIMÁRIO 1,0,150,°C,,,80,90
